013  00218 |Loss: 0.540 | Acc: 72.000% 
013  00219 |Loss: 0.544 | Acc: 69.000% 
013  00220 |Loss: 0.560 | Acc: 68.000% 
013  00221 |Loss: 0.558 | Acc: 69.000% 
013  00222 |Loss: 0.569 | Acc: 68.000% 
013  00223 |Loss: 0.561 | Acc: 69.000% 
013  00224 |Loss: 0.561 | Acc: 69.000% 
013  00225 |Loss: 0.559 | Acc: 69.000% 
013  00226 |Loss: 0.565 | Acc: 69.000% 
013  00227 |Loss: 0.568 | Acc: 69.000% 
013  00228 |Loss: 0.567 | Acc: 69.000% 
013  00229 |Loss: 0.561 | Acc: 70.000% 
013  00230 |Loss: 0.562 | Acc: 70.000% 
013  00231 |Loss: 0.561 | Acc: 70.000% 
013  00232 |Loss: 0.563 | Acc: 70.000% 
013  00233 |Loss: 0.563 | Acc: 69.000% 
013  00234 |Loss: 0.561 | Acc: 70.000% 
014  00235 |Loss: 0.526 | Acc: 77.000% 
014  00236 |Loss: 0.510 | Acc: 75.000% 
014  00237 |Loss: 0.504 | Acc: 76.000% 
